Kera	NN
untuk	IN
amankan	VB
pesta	NN
olahraga	NN

Pemerintah	NN
kota	NN
Delhi	NNP
mengerahkan	VB
monyet	NN
untuk	IN
mengusir	VB
monyet-monyet	NN
lain	JJ
yang	IN
berbadan	VB
lebih	RB
kecil	JJ
dari	IN
arena	NN
Pesta	NNP
Olahraga	NNP
Persemakmuran	NNP
.	.

Beberapa	DT
laporan	NN
menyebutkan	VB
setidaknya	RB
10	CD
monyet	NN
ditempatkan	VB
di	IN
luar	NN
arena	NN
lomba	NN
dan	CC
pertandingan	NN
di	IN
ibukota	NN
India	NNP
.	.

Pemkot	NNP
Delhi	NNP
memiliki	VB
28	CD
monyet	NN
dan	CC
berencana	VB
mendatangkan	VB
10	CD
monyet	NN
sejenis	JJ
dari	IN
negara	NN
bagian	NN
Rajasthan	NNP
.	.

Jumlah	NN
monyet	NN
di	IN
ibukota	NN
India	NNP
mencapai	VB
ribuan	CD
,	,
sebagian	NN
besar	JJ
berada	VB
di	IN
kantor-kantor	NN
pemerintah	NN
dan	CC
hewan	NN
ini	DT
dianggap	VB
mengganggu	VB
ketertiban	NN
umum	JJ
.	.

Jenis	NN
monyet	NN
yang	IN
dikerahkan	VB
pemkot	NN
berbadan	VB
besar	JJ
,	,
berekor	VB
panjang	JJ
,	,
dan	CC
memiliki	VB
wajah	NN
berwarna	VB
hitam	JJ
.	.

Monyet	NN
ini	DT
diikat	VB
dengan	IN
tali	NN
panjang	JJ
dan	CC
pelatih	NN
yang	IN
mengawasi	VB
mereka	PRP
akan	MD
melepas	VB
tali	NN
begitu	IN
monyet-monyet	NN
kecil	JJ
lain	JJ
mendekat	VB
.	.

Kantor	NN
berita	NN
AFP	NNP
melaporkan	VB
stadion	NN
tinju	NN
dan	CC
hockey	FW
mendapatkan	VB
perhatian	NN
khusus	JJ
karena	IN
sering	RB
diserbu	VB
monyet	NN
.	.

Monyet	NN
besar	JJ
akan	MD
dikerahkan	VB
di	IN
dua	CD
stadion	NN
untuk	IN
mengusir	VB
serbuan	NN
monyet	NN
kecil	JJ

"	``
Monyet	NN
besar	JJ
akan	MD
dikerahkan	VB
di	IN
dua	CD
stadion	NN
tersebut	DT
untuk	IN
mengusir	VB
serbuan	NN
monyet	NN
kecil	JJ
,	,
"	''
kata	VB
Devender	NNP
Prasad	NNP
,	,
pejabat	NN
pemerintah	NN
kota	NNP
Delhi	NNP
kepada	IN
kantor	NN
berita	NN
AFP	NNP
.	.

Selama	IN
bertahun-tahun	NN
monyet	NN
mengganggu	VB
warga	NN
Delhi	NNP
.	.

Binatang	NN
ini	DT
menaiki	VB
kereta	NN
metro	NN
dan	CC
bahkan	RB
berkeliaran	VB
di	IN
kompleks	NN
gedung	NN
parlemen	NN
.	.

Belum	RB
lama	JJ
ini	DT
kawanan	NN
monyet	NN
menyerbu	VB
kantor	NN
perdana	NN
menteri	NN
dan	CC
departemen	NN
pertahanan	NN
.	.

Binatang	NN
ini	DT
tidak	RB
bisa	MD
dibunuh	VB
karena	IN
masyarakat	NN
India	NNP
menganggap	VB
mereka	PRP
suci	JJ
.	.

Selain	CC
harus	MD
